1LDTM;1LDTM;20;Matutino                                                                                                                                                                                  
1MDTN;1MDTN;20;Noturno                                                                                                                                                                                   
1NDTN;1NDTN;20;Noturno                                                                                                                                                                                   
1ODTN;1ODTN;20;Noturno                                                                                                                                                                                   
1PDTN;1PDTN;20;Noturno                                                                                                                                                                                   
1QDTM;1QDTM;20;Matutino                                                                                                                                                                                  
1YDTV;1YDTV;20;Vespertino                                                                                                                                                                                
2LDTM;2LDTM;20;Matutino                                                                                                                                                                                  
2MDTN;2MDTN;20;Noturno                                                                                                                                                                                   
2NDTN;2NDTN;20;Noturno                                                                                                                                                                                   
3LDTM;3LDTM;20;Matutino                                                                                                                                                                                  
3MDTN;3MDTN;20;Noturno                                                                                                                                                                                   
3NDTN;3NDTN;20;Noturno                                                                                                                                                                                   
4LDTM;4LDTM;20;Matutino                                                                                                                                                                                  
4MDTN;4MDTN;20;Noturno                                                                                                                                                                                   
4NDTN;4NDTN;20;Noturno                                                                                                                                                                                   
5LDTM;5LDTM;20;Matutino                                                                                                                                                                                  
5MDTN;5MDTN;20;Noturno                                                                                                                                                                                   
5NDTN;5NDTN;08;Noturno                                                                                                                                                                                    
