1ADTM;1ADTM;20;Matutino                                                                                                                                                                                  
1BDTM;1BDTM;20;Matutino                                                                                                                                                                                  
1CDTM;1CDTM;20;Matutino                                                                                                                                                                                  
1DDTN;1DDTN;20;Noturno                                                                                                                                                                                   
1EDTN;1EDTN;20;Noturno                                                                                                                                                                                   
1FDTN;1FDTN;20;Noturno                                                                                                                                                                                   
1GDTN;1GDTN;20;Noturno                                                                                                                                                                                   
1HDTN;1HDTN;20;Noturno                                                                                                                                                                                   
1IDTN;1IDTN;20;Noturno                                                                                                                                                                                   
1JDTN;1JDTN;20;Noturno                                                                                                                                                                                   
1KDTN;1KDTN;20;Noturno                                                                                                                                                                                   
1RDTM;1RDTM;20;Matutino                                                                                                                                                                                  
1TDTV;1TDTV;20;Vespertino                                                                                                                                                                                
2ADTM;2ADTM;20;Matutino                                                                                                                                                                                  
2BDTM;2BDTM;20;Matutino                                                                                                                                                                                  
2CDTN;2CDTN;20;Noturno                                                                                                                                                                                   
2DDTN;2DDTN;20;Noturno                                                                                                                                                                                   
2EDTN;2EDTN;20;Noturno                                                                                                                                                                                   
2FDTN;2FDTN;20;Noturno                                                                                                                                                                                   
2GDTN;2GDTN;20;Noturno                                                                                                                                                                                   
3ADTM;3ADTM;20;Matutino                                                                                                                                                                                  
3BDTM;3BDTM;20;Matutino                                                                                                                                                                                  
3CDTN;3CDTN;20;Noturno                                                                                                                                                                                   
3DDTN;3DDTN;20;Noturno                                                                                                                                                                                   
3EDTN;3EDTN;20;Noturno                                                                                                                                                                                   
3FDTN;3FDTN;20;Noturno                                                                                                                                                                                   
4ADTM;4ADTM;20;Matutino                                                                                                                                                                                  
4CDTN;4CDTN;20;Noturno                                                                                                                                                                                   
4DDTN;4DDTN;20;Noturno                                                                                                                                                                                   
5ADTM;5ADTM;20;Matutino                                                                                                                                                                                  
5BDTN;5BDTN;20;Noturno                                                                                                                                                                                   
5CDTN;5CDTN;20;Noturno                                                                                                                                                                                   
5DDTN;5DDTN;20;Noturno                                                                                                                                                                                   
5FDTN;5FDTN;06;Noturno                                                                                                                                                                                    
5GDTM;5GDTM;20;Matutino                                                                                                                                                                                  
